Fight Type,Method:,Round:,Time:,Time format:,Referee:,Details,Winner,r_figher,b_figher,r_figher_sig_str,b_figher_sig_str,r_figher_sig_str %,b_figher_sig_str %,r_figher_total_str,b_figher_total_str
Bantamweight Bout,KO/TKO,1,0:50,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,Danaa Batgerel,Danaa Batgerel,Kevin Natividad,7 of 15,3 of 8,46%,37%,8 of 16,3 of 8
Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Troy Wincapaw26 - 30.Eric Colon28 - 29.Howard Reichbach28 - 29.,Kazula Vargas,Kazula Vargas,Rong Zhu,96 of 176,42 of 105,54%,40%,111 of 192,49 of 114
Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Josh Rutgers,Barry Luxenberg28 - 29.Sal D'amato28 - 29.Tony Weeks27 - 29.,Jeff Molina,Aori Qileng,Jeff Molina,116 of 258,189 of 356,44%,53%,125 of 269,210 of 378
Women's Strawweight Bout,KO/TKO,2,1:28,3 Rnd (5-5-5),James Folsom,Punches to Head From Guard,Ariane Carnelossi,Na Liang,Ariane Carnelossi,19 of 27,24 of 32,70%,75%,36 of 47,91 of 113
Middleweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Mike Bell45 - 50.Derek Cleary45 - 50.Sal D'amato45 - 50.,Robert Whittaker,Robert Whittaker,Kelvin Gastelum,150 of 284,62 of 209,52%,29%,169 of 303,70 of 218
Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Mike Bell28 - 29.Derek Cleary28 - 29.Tony Weeks28 - 29.,Andrei Arlovski,Andrei Arlovski,Chase Sherman,105 of 222,88 of 192,47%,45%,109 of 226,99 of 203
Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Chris Lee27 - 30.Adalaide Byrd27 - 30.Junichiro Kamijo27 - 30.,Jacob Malkoun,Abdul Razak Alhassan,Jacob Malkoun,21 of 47,27 of 55,44%,49%,32 of 59,91 of 135
Women's Flyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Keith Peterson,Derek Cleary28 - 29.Sal D'amato29 - 28.Rick Winter27 - 30.,Tracy Cortez,Tracy Cortez,Justine Kish,66 of 112,55 of 119,58%,46%,84 of 138,72 of 140
Lightweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Sal D'amato28 - 29.Mike Bell29 - 28.Rick Winter28 - 29.,Luis Pena,Luis Pena,Alexander Munoz,90 of 195,80 of 169,46%,47%,90 of 195,82 of 172
Heavyweight Bout,Decision - Split,3,1:05,3 Rnd (5-5-5),Mark Smith,Technical DecisionDave Hagen28 - 29.Chris Lee29 - 28.Tony Weeks28 - 29.,Alexandr Romanov,Alexandr Romanov,Juan Espino,32 of 53,12 of 22,60%,54%,53 of 77,44 of 56
Women's Strawweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Rick Winter29 - 28.Mike Bell28 - 29.Derek Cleary28 - 29.,Jessica Penne,Jessica Penne,Loopy Godinez,31 of 87,40 of 74,35%,54%,98 of 158,68 of 106
Middleweight Bout,Submission,1,2:00,3 Rnd (5-5-5),Herb Dean,Guillotine Choke On Ground,Gerald Meerschaert,Bartosz Fabinski,Gerald Meerschaert,6 of 13,8 of 10,46%,80%,16 of 23,12 of 14
Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Derek Cleary28 - 29.Junichiro Kamijo28 - 29.Tony Weeks28 - 29.,Austin Hubbard,Austin Hubbard,Dakota Bush,67 of 115,41 of 104,58%,39%,126 of 181,54 of 122
Bantamweight Bout,KO/TKO,2,1:31,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance,Tony Gravely,Tony Gravely,Anthony Birchak,39 of 75,18 of 45,52%,40%,61 of 105,30 of 59
