Fight Type,Method:,Round:,Time:,Time format:,Referee:,Details,Winner,r_figher,b_figher,r_figher_sig_str,b_figher_sig_str,r_figher_sig_str %,b_figher_sig_str %,r_figher_total_str,b_figher_total_str
Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin Sataki,Vito Paolillo27 - 30.Darryl Ransom27 - 30.Clemens Werner27 - 30.,Tracy Cortez,Tracy Cortez,Stephanie Egger,20 of 42,10 of 32,47%,31%,66 of 109,27 of 70
Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Anders Ohlsson27 - 30.Mike Bell28 - 29.Victor Wolf28 - 29.,Tagir Ulanbekov,Bruno Silva,Tagir Ulanbekov,47 of 114,46 of 122,41%,37%,59 of 134,69 of 152
Women's Bantamweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Mike Bell44 - 50.Dave Tirelli45 - 50.Clemens Werner45 - 50.,Holly Holm,Holly Holm,Irene Aldana,154 of 301,69 of 185,51%,37%,187 of 342,92 of 210
Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin Sataki,Lukasz Bosacki27 - 30.Anders Ohlsson27 - 30.Ahmed Korchi28 - 29.,Carlos Felipe,Yorgan De Castro,Carlos Felipe,48 of 100,78 of 177,48%,44%,113 of 174,88 of 187
Women's Bantamweight Bout,Submission,3,3:25,3 Rnd (5-5-5),,Guillotine Choke In Clinch,Germaine de Randamie,Germaine de Randamie,Julianna Pena,37 of 91,27 of 91,40%,29%,57 of 119,58 of 125
Bantamweight Bout,KO/TKO,2,0:44,3 Rnd (5-5-5),Marc Goddard,Elbows to Head From Back Control,Kyler Phillips,Kyler Phillips,Cameron Else,32 of 78,11 of 30,41%,36%,34 of 80,20 of 43
Middleweight Bout,KO/TKO,2,3:15,3 Rnd (5-5-5),Jason Herzog,Punches to Head From Mount,Dusko Todorovic,Dequan Townsend,Dusko Todorovic,13 of 41,85 of 134,31%,63%,21 of 49,109 of 167
Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Anders Ohlsson27 - 30.Dave Tirelli27 - 30.Clemens Werner27 - 30.,Carlos Condit,Carlos Condit,Court McGee,88 of 230,84 of 182,38%,46%,88 of 230,84 of 182
Featherweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Jason Herzog,Ahmed Korchi27 - 30.Lukasz Bosacki29 - 28.Mike Bell28 - 28.,draw,Charles Jourdain,Josh Culibao,44 of 101,46 of 124,43%,37%,68 of 126,51 of 130
Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin Sataki,Ahmed Korchi27 - 29.Dave Tirelli27 - 29.Anders Ohlsson28 - 29.,Nassourdine Imavov,Jordan Williams,Nassourdine Imavov,30 of 98,68 of 110,30%,61%,62 of 137,81 of 126
Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Mike Bell27 - 30.Lukasz Bosacki27 - 30.Clemens Werner28 - 29.,Loma Lookboonmee,Loma Lookboonmee,Jinh Yu Frey,80 of 137,26 of 61,58%,42%,85 of 142,39 of 75
Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin Sataki,Lukasz Bosacki25 - 30.Clemens Werner26 - 30.Dave Tirelli27 - 30.,Casey Kenney,Casey Kenney,Heili Alateng,109 of 263,46 of 171,41%,26%,109 of 263,46 of 171
Lightweight Bout,KO/TKO,1,1:12,3 Rnd (5-5-5),Jason Herzog,Kick to Head At Distance,Luigi Vendramini,Luigi Vendramini,Jessin Ayari,13 of 23,2 of 10,56%,20%,14 of 24,2 of 10
UFC Middleweight Title Bout,KO/TKO,2,3:59,5 Rnd (5-5-5-5-5),Jason Herzog,Punch to Head At Distance,Israel Adesanya,Israel Adesanya,Paulo Costa,55 of 84,12 of 26,65%,46%,55 of 84,12 of 26
UFC Light Heavyweight Title Bout,KO/TKO,2,4:36,5 Rnd (5-5-5-5-5),Kevin Sataki,Punch to Head At Distance,Jan Blachowicz,Dominick Reyes,Jan Blachowicz,21 of 51,41 of 89,41%,46%,21 of 51,41 of 89
Flyweight Bout,Submission,2,0:48,3 Rnd (5-5-5),Lukasz Bosacki,Guillotine Choke In Clinch,Brandon Royval,Kai Kara-France,Brandon Royval,22 of 38,39 of 71,57%,54%,22 of 39,51 of 85
Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell28 - 29.Anders Ohlsson28 - 29.Dave Tirelli28 - 29.,Ketlen Vieira,Ketlen Vieira,Sijara Eubanks,68 of 171,69 of 149,39%,46%,93 of 203,72 of 152
Featherweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Kevin Sataki,Ahmed Korchi28 - 29.Anders Ohlsson27 - 30.Dave Tirelli29 - 28.,Hakeem Dawodu,Hakeem Dawodu,Zubaira Tukhugov,69 of 136,35 of 93,50%,37%,70 of 137,40 of 98
Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Mike Bell28 - 29.Ahmed Korchi28 - 29.Clemens Werner28 - 29.,Brad Riddell,Brad Riddell,Alex Da Silva,67 of 166,54 of 112,40%,48%,86 of 185,70 of 133
Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Anders Ohlsson26 - 30.Dave Tirelli26 - 30.Clemens Werner26 - 30.,Jake Matthews,Diego Sanchez,Jake Matthews,25 of 81,72 of 148,30%,48%,38 of 95,93 of 174
Featherweight Bout,KO/TKO,1,1:16,3 Rnd (5-5-5),Kevin Sataki,Kick to Head At Distance,Ludovit Klein,Shane Young,Ludovit Klein,4 of 7,9 of 13,57%,69%,4 of 7,9 of 13
Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,Mike Bell28 - 29.Ahmed Korchi27 - 30.Dave Tirelli27 - 30.,William Knight,William Knight,Aleksa Camur,38 of 54,17 of 30,70%,56%,58 of 77,59 of 72
Heavyweight Bout,Submission,1,3:48,3 Rnd (5-5-5),Kevin Sataki,"Neck Crank From Side Control
      Scarf hold choke",Juan Espino,Juan Espino,Jeff Hughes,10 of 17,0 of 1,58%,0%,21 of 29,0 of 1
Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Ahmed Korchi28 - 29.Anders Ohlsson28 - 29.Dave Tirelli27 - 30.,Danilo Marques,Khadis Ibragimov,Danilo Marques,19 of 46,16 of 22,41%,72%,36 of 65,19 of 26
Welterweight Bout,KO/TKO,5,1:19,5 Rnd (5-5-5-5-5),Dan Miragliotta,"to    
      Rib injury",Colby Covington,Colby Covington,Tyron Woodley,78 of 143,34 of 83,54%,40%,232 of 311,67 of 116
Welterweight Bout,Overturned,3,5:00,3 Rnd (5-5-5),Jason Herzog,Failed Drug Test by PriceEric Colon27 - 29.Chris Lee28 - 28.Ron McCarthy28 - 28.,draw,Donald Cerrone,Niko Price,113 of 230,150 of 312,49%,48%,113 of 230,167 of 330
Middleweight Bout,KO/TKO,1,0:17,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance,Khamzat Chimaev,Khamzat Chimaev,Gerald Meerschaert,4 of 6,0 of 1,66%,0%,4 of 6,0 of 1
Light Heavyweight Bout,KO/TKO,1,2:43,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head On Ground,Johnny Walker,Johnny Walker,Ryan Spann,26 of 30,7 of 13,86%,53%,30 of 34,10 of 16
Women's Strawweight Bout,Submission,1,3:44,3 Rnd (5-5-5),Jason Herzog,Armbar From Mount,Mackenzie Dern,Mackenzie Dern,Randa Markos,9 of 13,3 of 5,69%,60%,11 of 17,7 of 10
Middleweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Mark Smith,Sal D'amato28 - 29.Ron McCarthy29 - 28.Eric Colon28 - 29.,Kevin Holland,Kevin Holland,Darren Stewart,74 of 129,57 of 110,57%,51%,163 of 223,97 of 159
Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Junichiro Kamijo27 - 30.Eric Colon27 - 30.Derek Cleary27 - 30.,David Dvorak,Jordan Espinosa,David Dvorak,50 of 162,68 of 146,30%,46%,50 of 162,69 of 147
Featherweight Bout,Submission,3,1:21,3 Rnd (5-5-5),Dan Miragliotta,Guillotine Choke From Mount,Damon Jackson,Mirsad Bektic,Damon Jackson,13 of 21,12 of 26,61%,46%,76 of 102,20 of 34
Women's Flyweight Bout,Submission,1,2:29,3 Rnd (5-5-5),Jason Herzog,Armbar From Bottom Guard,Mayra Bueno Silva,Mayra Bueno Silva,Mara Romero Borella,2 of 7,6 of 9,28%,66%,3 of 8,15 of 21
Women's Bantamweight Bout,KO/TKO,3,4:21,3 Rnd (5-5-5),Chris Tognoni,Knee to Head In Clinch,Jessica-Rose Clark,Jessica-Rose Clark,Sarah Alpar,76 of 106,12 of 30,71%,40%,124 of 175,26 of 44
Featherweight Bout,Submission,1,0:52,3 Rnd (5-5-5),Dan Miragliotta,Guillotine Choke From Guard,Darrick Minner,Darrick Minner,TJ Laramie,15 of 17,0 of 4,88%,0%,18 of 20,0 of 4
Bantamweight Bout,KO/TKO,1,0:41,3 Rnd (5-5-5),Mark Smith,Kick to Head At Distance,Randy Costa,Journey Newson,Randy Costa,1 of 5,4 of 6,20%,66%,1 of 5,4 of 6
Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell28 - 29.Dave Hagen28 - 29.Junichiro Kamijo29 - 28.,Andre Ewell,Andre Ewell,Irwin Rivera,123 of 299,81 of 176,41%,46%,124 of 301,85 of 180
Bantamweight Bout,KO/TKO,2,0:34,3 Rnd (5-5-5),Chris Tognoni,Punches to Head On Ground,Tyson Nam,Tyson Nam,Jerome Rivera,36 of 72,30 of 80,50%,37%,36 of 72,31 of 81
Women's Strawweight Bout,Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Chris Lee48 - 47.Sal D'amato46 - 49.Derek Cleary47 - 48.,Michelle Waterson,Michelle Waterson,Angela Hill,128 of 324,131 of 261,39%,50%,162 of 361,146 of 278
Lightweight Bout,KO/TKO,1,1:33,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance,Ottman Azaitar,Ottman Azaitar,Khama Worthy,16 of 22,1 of 9,72%,11%,16 of 22,1 of 9
Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Chris Lee28 - 29.Sal D'amato28 - 29.Derek Cleary28 - 29.,Roxanne Modafferi,Roxanne Modafferi,Andrea Lee,60 of 169,97 of 189,35%,51%,129 of 267,118 of 210
Light Heavyweight Bout,Submission,3,2:41,3 Rnd (5-5-5),Chris Tognoni,Kimura From Bottom Half Guard,Ed Herman,Ed Herman,Mike Rodriguez,40 of 73,89 of 124,54%,71%,51 of 84,114 of 149
Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Sal D'amato27 - 30.Derek Cleary27 - 30.Mike Bell27 - 30.,Bobby Green,Bobby Green,Alan Patrick,61 of 95,19 of 69,64%,27%,109 of 149,38 of 89
Featherweight Bout,KO/TKO,3,0:07,3 Rnd (5-5-5),Marc Goddard,Punch to Head At Distance,Billy Quarantillo,Billy Quarantillo,Kyle Nelson,79 of 150,56 of 114,52%,49%,112 of 185,62 of 120
Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Ron McCarthy27 - 29.Sal D'amato27 - 29.Mike Bell27 - 29.,Sijara Eubanks,Julia Avila,Sijara Eubanks,34 of 87,53 of 107,39%,49%,66 of 128,107 of 171
Lightweight Bout,Overturned,1,0:31,3 Rnd (5-5-5),Chris Tognoni,Failed Drug Test by Croom,draw,Roosevelt Roberts,Kevin Croom,2 of 5,5 of 6,40%,83%,2 of 5,5 of 6
Heavyweight Bout,Submission,2,4:22,3 Rnd (5-5-5),Mark Smith,Arm Triangle From Mount,Alexandr Romanov,Alexandr Romanov,Roque Martinez,55 of 147,7 of 15,37%,46%,60 of 160,29 of 41
Catch Weight Bout,Submission,2,4:20,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke,Jalin Turner,Brok Weaver,Jalin Turner,56 of 80,66 of 152,70%,43%,60 of 85,70 of 156
Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Rick Winter27 - 30.Junichiro Kamijo27 - 30.Dave Hagen28 - 29.,Bryan Barberena,Bryan Barberena,Anthony Ivy,63 of 126,36 of 84,50%,42%,175 of 250,54 of 105
Women's Flyweight Bout,Submission,3,3:57,3 Rnd (5-5-5),Marc Goddard,Rear Naked Choke,Sabina Mazo,Sabina Mazo,Justine Kish,131 of 275,93 of 210,47%,44%,131 of 275,94 of 212
Heavyweight Bout,KO/TKO,5,0:26,5 Rnd (5-5-5-5-5),Herb Dean,Elbows to Head On Ground,Alistair Overeem,Alistair Overeem,Augusto Sakai,92 of 114,99 of 173,80%,57%,106 of 131,120 of 196
Light Heavyweight Bout,KO/TKO,2,4:07,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance,Ovince Saint Preux,Ovince Saint Preux,Alonzo Menifield,33 of 80,19 of 40,41%,47%,33 of 80,21 of 43
Welterweight Bout,Submission,3,4:39,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke,Michel Pereira,Michel Pereira,Zelim Imadaev,88 of 153,23 of 90,57%,25%,88 of 154,24 of 91
Middleweight Bout,Submission,1,2:42,3 Rnd (5-5-5),Mark Smith,Armbar From Bottom Guard,Andre Muniz,Andre Muniz,Bartosz Fabinski,4 of 8,5 of 8,50%,62%,19 of 23,11 of 16
Featherweight Bout,Submission,1,0:39,3 Rnd (5-5-5),Herb Dean,Guillotine Choke From Bottom Guard,Brian Kelleher,Brian Kelleher,Ray Rodriguez,1 of 3,1 of 5,33%,20%,1 of 3,1 of 5
Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Ron McCarthy27 - 30.Rick Winter27 - 30.Derek Cleary28 - 29.,Viviane Araujo,Viviane Araujo,Montana De La Rosa,82 of 140,85 of 215,58%,39%,91 of 150,88 of 220
Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell28 - 29.Eric Colon28 - 29.Dave Hagen28 - 29.,Hunter Azure,Cole Smith,Hunter Azure,31 of 81,42 of 56,38%,75%,69 of 121,75 of 90
Light Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Eric Colon26 - 30.Sal D'amato27 - 30.Chris Lee27 - 30.,Aleksandar Rakic,Anthony Smith,Aleksandar Rakic,9 of 21,44 of 57,42%,77%,40 of 53,141 of 159
Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell27 - 30.Derek Cleary27 - 30.Ron McCarthy27 - 30.,Neil Magny,Robbie Lawler,Neil Magny,26 of 45,62 of 88,57%,70%,41 of 62,116 of 144
Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Eric Colon27 - 30.Sal D'amato27 - 30.Junichiro Kamijo27 - 30.,Alexa Grasso,Ji Yeon Kim,Alexa Grasso,68 of 188,88 of 182,36%,48%,85 of 206,123 of 220
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell27 - 29.Dave Hagen27 - 29.Ron McCarthy27 - 29.,Ricardo Lamas,Ricardo Lamas,Bill Algeo,104 of 156,89 of 168,66%,52%,127 of 180,145 of 224
Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Sal D'amato27 - 30.Dave Hagen27 - 30.Ron McCarthy27 - 30.,Impa Kasanganay,Maki Pitolo,Impa Kasanganay,71 of 173,85 of 198,41%,42%,72 of 174,86 of 199
Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Derek Cleary28 - 29.Chris Lee28 - 29.Junichiro Kamijo27 - 30.,Zak Cummings,Alessio Di Chirico,Zak Cummings,53 of 157,54 of 139,33%,38%,53 of 157,54 of 139
Featherweight Bout,Submission,1,3:38,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke,Alex Caceres,Alex Caceres,Austin Springer,18 of 31,14 of 32,58%,43%,18 of 31,14 of 32
Welterweight Bout,Submission,2,1:47,3 Rnd (5-5-5),Herb Dean,Guillotine Choke From Mount,Sean Brady,Sean Brady,Christian Aguilera,34 of 60,16 of 39,56%,41%,65 of 99,17 of 40
Women's Strawweight Bout,Submission,1,1:53,3 Rnd (5-5-5),Jason Herzog,Armbar From Bottom Guard,Polyana Viana,Polyana Viana,Emily Whitmire,9 of 15,2 of 11,60%,18%,18 of 24,5 of 15
Women's Strawweight Bout,Submission,2,1:33,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke,Mallory Martin,Mallory Martin,Hannah Cifers,22 of 38,49 of 100,57%,49%,48 of 66,75 of 130
Bantamweight Bout,Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Derek Cleary47 - 48.Sal D'amato49 - 46.Eric Colon47 - 48.,Frankie Edgar,Pedro Munhoz,Frankie Edgar,166 of 350,135 of 363,47%,37%,166 of 350,135 of 363
Light Heavyweight Bout,KO/TKO,1,2:17,3 Rnd (5-5-5),Jason Herzog,Elbow to Head In Clinch,Mike Rodriguez,Marcin Prachnio,Mike Rodriguez,14 of 20,21 of 26,70%,80%,23 of 30,21 of 26
Lightweight Bout,Submission,1,3:51,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke,Joe Solecki,Austin Hubbard,Joe Solecki,9 of 14,13 of 20,64%,65%,9 of 14,36 of 43
Women's Flyweight Bout,KO/TKO,2,1:38,3 Rnd (5-5-5),,Punches to Head From Mount,Shana Dobson,Mariya Agapova,Shana Dobson,22 of 46,24 of 36,47%,66%,56 of 89,41 of 59
Welterweight Bout,KO/TKO,1,2:24,3 Rnd (5-5-5),Chris Tognoni,Punches to Head In Clinch,Daniel Rodriguez,Daniel Rodriguez,Dwight Grant,15 of 32,30 of 68,46%,44%,15 of 32,31 of 72
Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell27 - 30.Dave Hagen27 - 30.Adalaide Byrd27 - 30.,Amanda Lemos,Amanda Lemos,Inoue Mizuki,83 of 129,57 of 94,64%,60%,102 of 150,138 of 181
Light Heavyweight Bout,TKO - Doctor's Stoppage,1,1:31,3 Rnd (5-5-5),Jason Herzog,,Jordan Wright,Ike Villanueva,Jordan Wright,7 of 7,15 of 15,100%,100%,23 of 24,21 of 21
Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell26 - 30.Ron McCarthy27 - 30.Anthony Maness28 - 29.,Matthew Semelsberger,Carlton Minus,Matthew Semelsberger,77 of 182,118 of 233,42%,50%,89 of 197,122 of 237
Catch Weight Bout,Overturned,2,1:59,3 Rnd (5-5-5),Chris Tognoni,Failed Drug Test by Jones,draw,Timur Valiev,Trevin Jones,66 of 93,26 of 50,70%,52%,66 of 93,31 of 55
UFC Heavyweight Title Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Derek Cleary46 - 49.Sal D'amato46 - 49.Junichiro Kamijo47 - 48.,Stipe Miocic,Stipe Miocic,Daniel Cormier,115 of 187,105 of 183,61%,57%,171 of 244,145 of 223
Bantamweight Bout,KO/TKO,1,4:40,3 Rnd (5-5-5),Herb Dean,Elbows to Head From Guard,Marlon Vera,Sean O'Malley,Marlon Vera,10 of 21,18 of 30,47%,60%,10 of 21,18 of 30
Heavyweight Bout,KO/TKO,2,3:47,3 Rnd (5-5-5),Dan Miragliotta,Punch to Head At Distance,Jairzinho Rozenstruik,Junior Dos Santos,Jairzinho Rozenstruik,24 of 44,42 of 66,54%,63%,24 of 44,42 of 66
Featherweight Bout,KO/TKO,2,4:37,3 Rnd (5-5-5),Mark Smith,Elbows to Head From Crucifix,Daniel Pineda,Herbert Burns,Daniel Pineda,10 of 22,57 of 75,45%,76%,35 of 48,173 of 205
Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Derek Cleary27 - 30.Sal D'amato27 - 30.Rick Winter27 - 30.,Merab Dvalishvili,John Dodson,Merab Dvalishvili,27 of 86,50 of 133,31%,37%,31 of 90,88 of 171
Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Sal D'amato28 - 29.Dave Hagen28 - 29.Eric Colon27 - 29.,Vinc Pichel,Jim Miller,Vinc Pichel,14 of 39,41 of 78,35%,52%,26 of 57,84 of 124
Women's Strawweight Bout,Submission,1,1:44,3 Rnd (5-5-5),Marc Goddard,Armbar From Mount,Virna Jandiroba,Felice Herrig,Virna Jandiroba,1 of 1,4 of 5,100%,80%,3 of 3,12 of 15
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Eric Colon28 - 29.Sal D'amato28 - 29.Junichiro Kamijo28 - 29.,Danny Chavez,TJ Brown,Danny Chavez,43 of 139,49 of 110,30%,44%,59 of 156,52 of 113
Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell28 - 29.Junichiro Kamijo28 - 29.Dave Hagen27 - 30.,Livinha Souza,Ashley Yoder,Livinha Souza,32 of 114,46 of 70,28%,65%,89 of 176,70 of 95
Heavyweight Bout,KO/TKO,1,4:28,3 Rnd (5-5-5),Herb Dean,Knee to Head At Distance,Chris Daukaus,Chris Daukaus,Parker Porter,37 of 59,17 of 52,62%,32%,45 of 67,18 of 53
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell28 - 29.Derek Cleary28 - 29.Tony Weeks28 - 29.,Kai Kamaka,Kai Kamaka,Tony Kelley,114 of 185,114 of 226,61%,50%,138 of 216,185 of 298
Heavyweight Bout,KO/TKO,2,0:21,5 Rnd (5-5-5-5-5),Herb Dean,Punches to Head On Ground,Derrick Lewis,Derrick Lewis,Aleksei Oleinik,35 of 42,2 of 6,83%,33%,35 of 42,3 of 7
Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell27 - 29.Ron McCarthy27 - 29.Eric Colon28 - 29.,Chris Weidman,Omari Akhmedov,Chris Weidman,33 of 91,29 of 56,36%,51%,60 of 118,67 of 98
Middleweight Bout,Submission,1,3:41,3 Rnd (5-5-5),Chris Tognoni,Guillotine Choke From Bottom Half Guard,Darren Stewart,Maki Pitolo,Darren Stewart,12 of 31,13 of 38,38%,34%,14 of 33,14 of 39
Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Derek Cleary26 - 30.Eric Colon27 - 30.Ron McCarthy27 - 30.,Yana Kunitskaya,Yana Kunitskaya,Julija Stoliarenko,43 of 57,6 of 26,75%,23%,209 of 254,30 of 50
Lightweight Bout,KO/TKO,1,4:38,3 Rnd (5-5-5),Herb Dean,Spinning Back Fist Head,Beneil Dariush,Beneil Dariush,Scott Holtzman,36 of 64,9 of 18,56%,50%,36 of 64,11 of 20
Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Junichiro Kamijo27 - 30.Ron McCarthy28 - 29.Derek Cleary28 - 29.,Tim Means,Tim Means,Laureano Staropoli,85 of 147,71 of 161,57%,44%,126 of 189,81 of 172
Middleweight Bout,KO/TKO,3,0:32,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance,Kevin Holland,Kevin Holland,Joaquin Buckley,79 of 134,40 of 120,58%,33%,86 of 141,41 of 121
Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Derek Cleary27 - 30.Dave Hagen27 - 30.Chris Lee27 - 30.,Nasrat Haqparast,Nasrat Haqparast,Alexander Munoz,104 of 215,37 of 144,48%,25%,108 of 219,40 of 147
Middleweight Bout,KO/TKO,1,4:14,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,Andrew Sanchez,Andrew Sanchez,Wellington Turman,28 of 55,21 of 51,50%,41%,40 of 68,26 of 56
Featherweight Bout,Submission,3,1:43,3 Rnd (5-5-5),Jason Herzog,Rear Naked Choke,Gavin Tucker,Gavin Tucker,Justin Jaynes,87 of 211,41 of 101,41%,40%,88 of 212,42 of 103
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell26 - 30.Ron McCarthy26 - 30.Tony Weeks27 - 30.,Youssef Zalal,Youssef Zalal,Peter Barrett,54 of 92,23 of 57,58%,40%,82 of 129,68 of 107
Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Eric Colon28 - 29.Dave Hagen29 - 28.Junichiro Kamijo28 - 29.,Irwin Rivera,Irwin Rivera,Ali AlQaisi,36 of 73,44 of 105,49%,41%,45 of 82,54 of 118
Middleweight Bout,KO/TKO,3,0:26,3 Rnd (5-5-5),Herb Dean,Punches to Head On Ground,Derek Brunson,Derek Brunson,Edmen Shahbazyan,88 of 145,35 of 72,60%,48%,107 of 164,38 of 75
Women's Flyweight Bout,Submission,1,4:29,3 Rnd (5-5-5),Jason Herzog,Armbar From Bottom Guard,Jennifer Maia,Joanne Calderwood,Jennifer Maia,26 of 49,20 of 37,53%,54%,33 of 57,31 of 49
Welterweight Bout,KO/TKO,2,4:56,3 Rnd (5-5-5),Mark Smith,Knee to Head In Clinch,Vicente Luque,Vicente Luque,Randy Brown,64 of 122,61 of 133,52%,45%,76 of 134,66 of 138
Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Junichiro Kamijo26 - 30.Mike Bell27 - 30.Derek Cleary27 - 30.,Bobby Green,Lando Vannata,Bobby Green,54 of 127,115 of 195,42%,58%,64 of 139,136 of 219
Bantamweight Bout,KO/TKO,3,0:57,3 Rnd (5-5-5),Chris Tognoni,Knee to Head At Distance,Jonathan Martinez,Frankie Saenz,Jonathan Martinez,39 of 72,79 of 133,54%,59%,52 of 85,88 of 143
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell27 - 29.Dave Hagen27 - 29.Chris Lee27 - 29.,Nate Maness,Johnny Munoz,Nate Maness,49 of 78,21 of 50,62%,42%,129 of 168,158 of 194
Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Tony Weeks27 - 30.Eric Colon27 - 30.Ron McCarthy27 - 30.,Jamall Emmers,Jamall Emmers,Vince Cachero,103 of 196,76 of 152,52%,50%,113 of 209,121 of 201
Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Derek Cleary28 - 28.Sal D'amato28 - 28.Dave Hagen28 - 28.,draw,Chris Gutierrez,Cody Durden,66 of 109,36 of 85,60%,42%,73 of 116,95 of 189
Middleweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Ben Cartlidge47 - 48.Anders Ohlsson47 - 48.Clemens Werner47 - 48.,Robert Whittaker,Robert Whittaker,Darren Till,69 of 157,41 of 99,43%,41%,100 of 188,50 of 108
